"zipcode","percentSingleFemHHWithKids","percentBlackHH","percentPoorHH","percentTTUnder15Min","totalIndividuals","perCapitaIncome"
"00601",10.2249134948097,0.847750865051903,57.1,29.0585975024015,18570,9994.50488599349
"00602",9.31241909693139,3.38841087337242,49.6,28.709615012575,41520,10978.6153387781
"00603",10.6456746618165,3.29089462316699,46,38.5735205444052,54689,12493.4013039568
"00606",8.51648351648352,1.59340659340659,52.5,36.120218579235,6615,7415.98645598194
"00610",9.53992596509783,2.97197250132205,46,33.0356003572796,29016,10961.1410637079
"00612",13.3426372325129,4.28402266768164,41.8,24.6570418738393,67010,15015.9609624925
"00616",10.1849217638691,2.61735419630156,44.4,12.9092961987204,11017,11171.3391991132
"00617",11.5492272118778,1.54557624437143,51.7,35.6796116504854,24597,11270.1431784108
"00622",5.01216545012165,0.827250608272506,50.5,20.4897959183673,7853,9665.17780502759
"00623",8.42839497202645,2.47039162973189,43.6,22.2463836626643,43061,13366.2514797223
"00624",11.2446781868269,2.6045579764588,56.3,19.4362017804154,26241,9252.01170463021
"00627",9.21296705238053,1.50163413126049,41.6,15.5913978494624,35159,12698.1338471419
"00631",11.5183246073298,0,48.4,66.9376693766938,1852,8259.54900260191
"00637",9.64679603518079,2.94569314533017,47.4,31.5279770444763,25287,10384.1729313981
"00638",12.2253226369027,0.994070456923614,56,23.389279913373,18941,8541.85351031505
"00641",8.89418098985297,1.52205425553945,52,28.9847715736041,31191,10180.1181380733
"00646",10.5575717584955,15.3827119762455,32.1,17.2890499873556,38199,20688.4309475606
"00647",7.78851620238772,4.37748720864127,51,33.6658354114713,6172,8828.55291350928
"00650",11.3926746166951,1.34156729131175,50.4,21.0916072408119,14998,9728.51038097158
"00652",12.9204892966361,3.82262996941896,48.7,15.0943396226415,4715,9406.86641221374
"00653",7.70416024653313,2.67077555213148,62.5,46.7906153165117,13307,8670.23084946112
"00656",10.1997578692494,2.81476997578693,50.9,22.1809744779582,21481,10314.6727806835
"00659",10.0379340531077,1.10884155237817,44.3,16.1282116509794,41953,13247.4096185738
"00660",8.39399101750039,3.11290072789221,27.7,31.4973821989529,17250,16059.4401565996
"00662",10.6250843796409,6.4533549345214,50.8,31.8621349928195,43282,11389.6661285794
"00664",12.1624495003189,3.89113331915798,45.3,43.900563813429,16784,10089.675685329
"00667",9.05564310825555,2.04873317977937,56.7,26.6532258064516,25968,9482.88403361345
"00669",9.76310122038765,0.964003691929033,60,35.6750457799234,29744,8778.31935794217
"00670",11.0074626865672,1.86567164179104,51.2,31.233790292701,9807,9554.2776930119
"00674",12.661106899166,4.08137477887288,41.2,21.2105123440403,44457,14333.0747378389
"00676",8.89515508843886,2.05075621635478,48.9,25.2924610051993,40316,9650.35231065945
"00677",8.59416445623342,4.36781609195402,48.1,43.8650306748466,15272,13024.8652801967
"00678",9.53460749379117,4.25440017276752,54,35.1221928665786,27819,10453.7274209325
